,Messstelle,LQI<sub>BW</sub>,NO<sub>2</sub> [µg/m<sup>3</sup>],O<sub>3</sub> [µg/m<sup>3</sup>],PM<sub>10</sub> [µg/m<sup>3</sup>],"PM<sub>2,5</sub> [µg/m<sup>3</sup>]",Kategorie,Reg.-Bez.,extra_0,extra_1,extra_2,extra_3
0,Aalen,3.0,3,3,12.0,52.0,27.0,27,6.0,6,städt. Hgr.,S
1,Baden-Baden,2.0,2,3,9.0,31.0,7.0,7,3.0,3,städt. Hgr.,KA
2,Bernhausen,2.0,2,3,14.0,29.0,14.0,14,4.0,4,städt. Hgr.,S
3,Biberach,1.0,1,3,13.0,25.0,10.0,10,5.0,5,städt. Hgr.,TÜ
4,Eggenstein,2.0,2,3,19.0,17.0,13.0,13,4.0,4,städt. Hgr.,KA
5,Freiburg,2.0,2,3,6.0,52.0,7.0,7,3.0,3,städt. Hgr.,FR
6,Freiburg Schwarzwaldstraße,1.0,1,2,,,8.0,8,3.0,3,Verkehr,FR
7,Friedrichshafen,1.0,1,3,13.0,16.0,8.0,8,4.0,4,städt. Hgr.,TÜ
8,Gärtringen,2.0,2,3,9.0,33.0,9.0,9,3.0,3,städt. Hgr.,S
9,Heidelberg,2.0,2,3,7.0,47.0,7.0,7,3.0,3,städt. Hgr.,KA
10,Heilbronn,2.0,2,3,36.0,,15.0,15,5.0,5,städt. Hgr.,S
11,Heilbronn Weinsberger Straße-Ost,3.0,3,3,41.0,,,,,,Verkehr,S
12,Karlsruhe Reinhold-Frank-Straße,1.0,3,3,14.0,,11.0,11,4.0,4,Verkehr,KA
13,Karlsruhe-Nordwest,1.0,2,3,11.0,,12.0,12,4.0,4,städt. Hgr.,KA
14,Kehl,2.0,2,3,16.0,31.0,10.0,11,4.0,4,städt. Hgr.,FR
15,Konstanz,1.0,2,3,10.0,26.0,10.0,10,5.0,5,städt. Hgr.,
16,Ludwigsburg,2.0,2,3,14.0,45.0,11.0,11,5.0,5,städt. Hgr.,S
17,Ludwigsburg Schlossstraße,2.0,3,4,18.0,,14.0,14,6.0,6,Spot (kontinuierlich),S
18,Mannheim Friedrichsring,2.0,3,3,12.0,,14.0,14,5.0,5,Verkehr,KA
19,Mannheim-Nord,2.0,2,3,18.0,44.0,12.0,12,5.0,5,städt. Hgr.,KA
20,Neuenburg,2.0,2,3,9.0,37.0,8.0,8,3.0,3,städt. Hgr.,FR
21,Pforzheim,1.0,1,3,10.0,28.0,9.0,9,4.0,4,städt. Hgr.,KA
22,Pforzheim Luisenstraße,2.0,2,3,14.0,,14.0,14,5.0,5,Spot (kontinuierlich),KA
23,Reutlingen,1.0,2,3,10.0,30.0,8.0,8,4.0,4,städt. Hgr.,TÜ
24,Reutlingen Lederstraße-Ost,1.0,2,3,9.0,,9.0,9,4.0,5,Verkehr,TÜ
25,Schramberg Oberndorfer Straße,,1,3,,,,,,,Verkehr,FR
26,Schwarzwald-Süd,1.0,3,3,1.0,,4.0,4,2.0,2,ländl. Hgr.,FR
27,Schwäbisch Hall,1.0,1,3,14.0,13.0,10.0,10,4.0,4,städt. Hgr.,S
28,Schwäbische Alb,2.0,2,3,3.0,63.0,6.0,6,3.0,3,ländl. Hgr.,TÜ
29,Stuttgart Hauptstätter Straße,2.0,2,3,25.0,,9.0,9,4.0,4,Spot (kontinuierlich),S
30,Stuttgart Hohenheimer Straße,1.0,2,3,14.0,,,,,,Spot (kontinuierlich),S
31,Stuttgart-Bad Cannstatt,2.0,2,3,,41.0,10.0,10,4.0,4,städt. Hgr.,S
32,Tauberbischofsheim,1.0,1,3,11.0,10.0,8.0,8,3.0,3,städt. Hgr.,S
33,Tübingen Mühlstraße,1.0,2,3,10.0,,12.0,12,4.0,4,Spot (kontinuierlich),TÜ
34,Ulm,2.0,2,3,26.0,23.0,13.0,13,6.0,6,städt. Hgr.,TÜ
35,Villingen-Schwenningen,1.0,1,3,9.0,18.0,11.0,11,3.0,3,städt. Hgr.,FR
36,Weil am Rhein,1.0,2,3,8.0,,6.0,6,2.0,2,städt. Hgr.,FR
37,Wiesloch,2.0,2,3,13.0,49.0,9.0,9,3.0,3,städt. Hgr.,KA
